Industry,Country,Year,Attack_Type,Canonical_Attack_Vector,Data_Type,Records_Compromised,Employee_Count,Security_Budget_Million_USD,Financial_Impact_Million_USD,Recovery_Time_Days,Incident_Severity,Baseline_Industry_Cost_Million_USD,Per_Record_Cost_USD,Estimated_Financial_Impact_Million_USD,Baseline_Source,PerRecord_Source,Source_Tag
Education,Germany,2016,Phishing,vulnerability exploit,pii_customer,907547,3400,2.1,48.57,33,3,3.376,100.0,48.57,IBM_Global×Multiplier,,LEAN
Retail,France,2019,Phishing,unknown,pii_customer,298096,23000,8.9,3.0,16,1,3.798,100.0,3.0,IBM_Global×Multiplier,,LEAN
Retail,UK,2023,Phishing,unknown,pii_customer,18579,23000,8.9,33.06,13,1,3.798,100.0,33.06,IBM_Global×Multiplier,,LEAN
Education,UK,2021,Malware,unknown,pii_customer,490771,3400,2.1,70.9,70,4,3.376,100.0,70.9,IBM_Global×Multiplier,,LEAN
Healthcare,Germany,2020,Phishing,vulnerability exploit,pii_customer,394577,10700,19.2,38.12,33,3,8.44,100.0,38.12,IBM_Global×Multiplier,,LEAN
Telecommunications,India,2021,DDoS,unknown,pii_customer,155426,45000,34.5,35.19,16,1,4.22,100.0,35.19,IBM_Global×Multiplier,,LEAN
Education,Russia,2017,Ransomware,unknown,pii_customer,444399,3400,2.1,88.9,38,3,3.376,100.0,88.9,IBM_Global×Multiplier,,LEAN
Healthcare,Japan,2015,Man-in-the-Middle,vulnerability exploit,pii_customer,770028,10700,19.2,7.96,58,4,8.44,100.0,7.96,IBM_Global×Multiplier,,LEAN
Retail,Brazil,2023,Ransomware,unknown,pii_customer,608520,23000,8.9,66.38,14,1,3.798,100.0,66.38,IBM_Global×Multiplier,,LEAN
Healthcare,Australia,2020,DDoS,vulnerability exploit,pii_customer,471113,10700,19.2,91.45,71,4,8.44,100.0,91.45,IBM_Global×Multiplier,,LEAN
Retail,Germany,2015,Man-in-the-Middle,unknown,pii_customer,311253,23000,8.9,63.65,36,3,3.798,100.0,63.65,IBM_Global×Multiplier,,LEAN
IT,Brazil,2023,DDoS,unknown,pii_customer,390409,8900,12.3,84.19,31,3,4.22,100.0,84.19,IBM_Global×Multiplier,,LEAN
IT,China,2015,SQL Injection,unknown,pii_customer,604786,8900,12.3,28.35,34,3,4.22,100.0,28.35,IBM_Global×Multiplier,,LEAN
Government,China,2024,SQL Injection,unknown,pii_customer,568377,2300,8.9,84.23,38,3,4.22,100.0,84.23,IBM_Global×Multiplier,,LEAN
Telecommunications,Russia,2020,SQL Injection,unknown,pii_customer,267678,45000,34.5,29.89,13,1,4.22,100.0,29.89,IBM_Global×Multiplier,,LEAN
Education,Australia,2020,Malware,unknown,pii_customer,592485,3400,2.1,5.95,10,1,3.376,100.0,5.95,IBM_Global×Multiplier,,LEAN
Government,USA,2018,DDoS,unknown,pii_customer,639011,2300,8.9,84.85,26,3,4.22,100.0,84.85,IBM_Global×Multiplier,,LEAN
Telecommunications,China,2023,Man-in-the-Middle,unknown,pii_customer,446243,45000,34.5,28.82,66,4,4.22,100.0,28.82,IBM_Global×Multiplier,,LEAN
Government,Germany,2016,DDoS,vulnerability exploit,pii_customer,10438,2300,8.9,22.48,10,1,4.22,100.0,22.48,IBM_Global×Multiplier,,LEAN
IT,Brazil,2023,SQL Injection,unknown,pii_customer,796195,8900,12.3,97.37,20,2,4.22,100.0,97.37,IBM_Global×Multiplier,,LEAN
Telecommunications,Australia,2020,SQL Injection,unknown,pii_customer,55392,45000,34.5,53.32,44,4,4.22,100.0,53.32,IBM_Global×Multiplier,,LEAN
IT,Germany,2016,DDoS,vulnerability exploit,pii_customer,579291,8900,12.3,63.11,6,1,4.22,100.0,63.11,IBM_Global×Multiplier,,LEAN
Banking,Germany,2023,Malware,vulnerability exploit,pii_customer,791366,8900,12.3,70.19,61,4,4.22,100.0,70.19,IBM_Global×Multiplier,,LEAN
IT,France,2022,Malware,unknown,pii_customer,727826,8900,12.3,92.29,63,4,4.22,100.0,92.29,IBM_Global×Multiplier,,LEAN
IT,Russia,2023,Malware,vulnerability exploit,pii_customer,608695,8900,12.3,98.07,31,3,4.22,100.0,98.07,IBM_Global×Multiplier,,LEAN
Retail,Australia,2019,SQL Injection,unknown,pii_customer,496667,23000,8.9,13.96,45,4,3.798,100.0,13.96,IBM_Global×Multiplier,,LEAN
Retail,Japan,2024,Malware,unknown,pii_customer,353887,23000,8.9,56.9,59,4,3.798,100.0,56.9,IBM_Global×Multiplier,,LEAN
Banking,China,2019,Ransomware,unknown,pii_customer,713584,8900,12.3,32.69,26,3,4.22,100.0,32.69,IBM_Global×Multiplier,,LEAN
IT,India,2017,DDoS,vulnerability exploit,pii_customer,417831,8900,12.3,70.09,36,3,4.22,100.0,70.09,IBM_Global×Multiplier,,LEAN
Banking,USA,2019,Ransomware,unknown,pii_customer,51219,8900,12.3,22.62,36,3,4.22,100.0,22.62,IBM_Global×Multiplier,,LEAN
Retail,UK,2017,Ransomware,unknown,pii_customer,153257,23000,8.9,47.91,59,4,3.798,100.0,47.91,IBM_Global×Multiplier,,LEAN
Retail,Russia,2017,Phishing,unknown,pii_customer,768022,23000,8.9,20.58,64,4,3.798,100.0,20.58,IBM_Global×Multiplier,,LEAN
Banking,France,2024,Phishing,vulnerability exploit,pii_customer,314347,8900,12.3,26.29,28,3,4.22,100.0,26.29,IBM_Global×Multiplier,,LEAN
IT,Germany,2020,Phishing,unknown,pii_customer,649406,8900,12.3,33.51,27,3,4.22,100.0,33.51,IBM_Global×Multiplier,,LEAN
Education,Japan,2023,Phishing,unknown,pii_customer,744595,3400,2.1,68.28,44,4,3.376,100.0,68.28,IBM_Global×Multiplier,,LEAN
Banking,Brazil,2021,DDoS,unknown,pii_customer,126781,8900,12.3,14.72,32,3,4.22,100.0,14.72,IBM_Global×Multiplier,,LEAN
Retail,France,2015,Phishing,vulnerability exploit,pii_customer,427167,23000,8.9,44.29,11,1,3.798,100.0,44.29,IBM_Global×Multiplier,,LEAN
Retail,Australia,2023,Ransomware,unknown,pii_customer,396865,23000,8.9,41.54,42,4,3.798,100.0,41.54,IBM_Global×Multiplier,,LEAN
Telecommunications,UK,2019,Phishing,unknown,pii_customer,902952,45000,34.5,90.67,8,1,4.22,100.0,90.67,IBM_Global×Multiplier,,LEAN
IT,USA,2023,Ransomware,unknown,pii_customer,632075,8900,12.3,34.94,64,4,4.22,100.0,34.94,IBM_Global×Multiplier,,LEAN
Healthcare,France,2017,SQL Injection,unknown,pii_customer,728486,10700,19.2,83.73,61,4,8.44,100.0,83.73,IBM_Global×Multiplier,,LEAN
Education,Australia,2018,DDoS,unknown,pii_customer,109439,3400,2.1,64.62,32,3,3.376,100.0,64.62,IBM_Global×Multiplier,,LEAN
Education,India,2018,Malware,unknown,pii_customer,1174,3400,2.1,86.38,23,2,3.376,100.0,86.38,IBM_Global×Multiplier,,LEAN
Education,Russia,2024,Phishing,unknown,pii_customer,953987,3400,2.1,25.7,65,4,3.376,100.0,25.7,IBM_Global×Multiplier,,LEAN
Government,Brazil,2021,DDoS,unknown,pii_customer,713309,2300,8.9,56.2,51,4,4.22,100.0,56.2,IBM_Global×Multiplier,,LEAN
Healthcare,Russia,2021,DDoS,unknown,pii_customer,334528,10700,19.2,11.38,5,1,8.44,100.0,11.38,IBM_Global×Multiplier,,LEAN
IT,USA,2016,Phishing,unknown,pii_customer,219826,8900,12.3,92.53,38,3,4.22,100.0,92.53,IBM_Global×Multiplier,,LEAN
Telecommunications,USA,2015,SQL Injection,unknown,pii_customer,916744,45000,34.5,88.6,47,4,4.22,100.0,88.6,IBM_Global×Multiplier,,LEAN
IT,USA,2017,Man-in-the-Middle,unknown,pii_customer,568560,8900,12.3,30.4,49,4,4.22,100.0,30.4,IBM_Global×Multiplier,,LEAN
Education,UK,2019,Malware,vulnerability exploit,pii_customer,440178,3400,2.1,90.7,15,1,3.376,100.0,90.7,IBM_Global×Multiplier,,LEAN
Healthcare,Japan,2023,SQL Injection,unknown,pii_customer,172628,10700,19.2,45.38,4,1,8.44,100.0,45.38,IBM_Global×Multiplier,,LEAN
Government,USA,2022,Ransomware,vulnerability exploit,pii_customer,257989,2300,8.9,71.33,68,4,4.22,100.0,71.33,IBM_Global×Multiplier,,LEAN
Healthcare,Japan,2021,Phishing,unknown,pii_customer,573560,10700,19.2,9.42,9,1,8.44,100.0,9.42,IBM_Global×Multiplier,,LEAN
Education,Brazil,2018,Malware,unknown,pii_customer,850056,3400,2.1,5.27,65,4,3.376,100.0,5.27,IBM_Global×Multiplier,,LEAN
Retail,Australia,2018,DDoS,vulnerability exploit,pii_customer,860119,23000,8.9,41.59,30,3,3.798,100.0,41.59,IBM_Global×Multiplier,,LEAN
Education,USA,2015,SQL Injection,unknown,pii_customer,140958,3400,2.1,98.78,51,4,3.376,100.0,98.78,IBM_Global×Multiplier,,LEAN
Telecommunications,China,2015,DDoS,unknown,pii_customer,965727,45000,34.5,61.24,32,3,4.22,100.0,61.24,IBM_Global×Multiplier,,LEAN
Telecommunications,Russia,2015,Malware,unknown,pii_customer,20269,45000,34.5,69.34,36,3,4.22,100.0,69.34,IBM_Global×Multiplier,,LEAN
Retail,Germany,2015,DDoS,unknown,pii_customer,323011,23000,8.9,7.84,25,2,3.798,100.0,7.84,IBM_Global×Multiplier,,LEAN
Retail,USA,2016,Ransomware,unknown,pii_customer,50321,23000,8.9,57.17,25,2,3.798,100.0,57.17,IBM_Global×Multiplier,,LEAN
Banking,Russia,2020,DDoS,unknown,pii_customer,851863,8900,12.3,33.99,25,2,4.22,100.0,33.99,IBM_Global×Multiplier,,LEAN
IT,China,2024,DDoS,vulnerability exploit,pii_customer,704925,8900,12.3,22.45,52,4,4.22,100.0,22.45,IBM_Global×Multiplier,,LEAN
Banking,France,2018,Ransomware,vulnerability exploit,pii_customer,355077,8900,12.3,27.78,65,4,4.22,100.0,27.78,IBM_Global×Multiplier,,LEAN
Education,Australia,2022,Malware,unknown,pii_customer,866057,3400,2.1,47.12,17,1,3.376,100.0,47.12,IBM_Global×Multiplier,,LEAN
Telecommunications,Germany,2016,SQL Injection,unknown,pii_customer,169455,45000,34.5,48.77,23,2,4.22,100.0,48.77,IBM_Global×Multiplier,,LEAN
IT,India,2023,SQL Injection,vulnerability exploit,pii_customer,380022,8900,12.3,92.35,30,3,4.22,100.0,92.35,IBM_Global×Multiplier,,LEAN
Retail,USA,2019,SQL Injection,unknown,pii_customer,898679,23000,8.9,88.98,35,3,3.798,100.0,88.98,IBM_Global×Multiplier,,LEAN
IT,Japan,2020,Ransomware,unknown,pii_customer,704157,8900,12.3,61.69,42,4,4.22,100.0,61.69,IBM_Global×Multiplier,,LEAN
Telecommunications,Russia,2022,Malware,unknown,pii_customer,262201,45000,34.5,84.57,54,4,4.22,100.0,84.57,IBM_Global×Multiplier,,LEAN
Telecommunications,Brazil,2021,DDoS,vulnerability exploit,pii_customer,683261,45000,34.5,67.87,13,1,4.22,100.0,67.87,IBM_Global×Multiplier,,LEAN
IT,USA,2022,Phishing,vulnerability exploit,pii_customer,382379,8900,12.3,59.7,2,1,4.22,100.0,59.7,IBM_Global×Multiplier,,LEAN
Government,Germany,2024,Phishing,unknown,pii_customer,510657,2300,8.9,90.21,62,4,4.22,100.0,90.21,IBM_Global×Multiplier,,LEAN
Education,UK,2018,SQL Injection,vulnerability exploit,pii_customer,912558,3400,2.1,16.23,69,4,3.376,100.0,16.23,IBM_Global×Multiplier,,LEAN
Banking,UK,2020,Ransomware,unknown,pii_customer,952504,8900,12.3,16.91,45,4,4.22,100.0,16.91,IBM_Global×Multiplier,,LEAN
Government,France,2015,Phishing,vulnerability exploit,pii_customer,913027,2300,8.9,41.88,68,4,4.22,100.0,41.88,IBM_Global×Multiplier,,LEAN
Government,Brazil,2019,Malware,vulnerability exploit,pii_customer,269271,2300,8.9,31.04,58,4,4.22,100.0,31.04,IBM_Global×Multiplier,,LEAN
Healthcare,India,2016,Ransomware,unknown,pii_customer,113404,10700,19.2,37.12,11,1,8.44,100.0,37.12,IBM_Global×Multiplier,,LEAN
Healthcare,Russia,2023,DDoS,unknown,pii_customer,310868,10700,19.2,46.2,10,1,8.44,100.0,46.2,IBM_Global×Multiplier,,LEAN
Telecommunications,Japan,2024,Man-in-the-Middle,unknown,pii_customer,458630,45000,34.5,98.3,14,1,4.22,100.0,98.3,IBM_Global×Multiplier,,LEAN
IT,USA,2024,Ransomware,unknown,pii_customer,912183,8900,12.3,16.61,44,4,4.22,100.0,16.61,IBM_Global×Multiplier,,LEAN
IT,Brazil,2017,Man-in-the-Middle,unknown,pii_customer,871891,8900,12.3,71.06,52,4,4.22,100.0,71.06,IBM_Global×Multiplier,,LEAN
Government,USA,2016,SQL Injection,vulnerability exploit,pii_customer,863298,2300,8.9,14.17,15,1,4.22,100.0,14.17,IBM_Global×Multiplier,,LEAN
Healthcare,Australia,2018,Malware,unknown,pii_customer,434626,10700,19.2,82.65,29,3,8.44,100.0,82.65,IBM_Global×Multiplier,,LEAN
IT,Australia,2018,Ransomware,unknown,pii_customer,195490,8900,12.3,78.27,63,4,4.22,100.0,78.27,IBM_Global×Multiplier,,LEAN
Retail,UK,2022,Ransomware,vulnerability exploit,pii_customer,19404,23000,8.9,10.44,32,3,3.798,100.0,10.44,IBM_Global×Multiplier,,LEAN
Healthcare,Russia,2019,Ransomware,unknown,pii_customer,217438,10700,19.2,21.95,14,1,8.44,100.0,21.95,IBM_Global×Multiplier,,LEAN
Healthcare,India,2018,Malware,unknown,pii_customer,481452,10700,19.2,30.83,57,4,8.44,100.0,30.83,IBM_Global×Multiplier,,LEAN
Education,UK,2020,SQL Injection,vulnerability exploit,pii_customer,386093,3400,2.1,35.57,42,4,3.376,100.0,35.57,IBM_Global×Multiplier,,LEAN
Banking,France,2019,Man-in-the-Middle,unknown,pii_customer,929020,8900,12.3,28.29,2,1,4.22,100.0,28.29,IBM_Global×Multiplier,,LEAN
IT,USA,2022,Malware,vulnerability exploit,pii_customer,863756,8900,12.3,4.06,66,4,4.22,100.0,4.06,IBM_Global×Multiplier,,LEAN
Telecommunications,China,2018,Ransomware,vulnerability exploit,pii_customer,300898,45000,34.5,58.28,18,2,4.22,100.0,58.28,IBM_Global×Multiplier,,LEAN
Healthcare,Japan,2017,SQL Injection,unknown,pii_customer,191328,10700,19.2,7.31,51,4,8.44,100.0,7.31,IBM_Global×Multiplier,,LEAN
Banking,Germany,2021,Man-in-the-Middle,unknown,pii_customer,361849,8900,12.3,37.69,63,4,4.22,100.0,37.69,IBM_Global×Multiplier,,LEAN
Retail,Brazil,2016,Phishing,vulnerability exploit,pii_customer,30884,23000,8.9,27.99,26,3,3.798,100.0,27.99,IBM_Global×Multiplier,,LEAN
IT,Brazil,2024,Ransomware,unknown,pii_customer,902924,8900,12.3,71.55,12,1,4.22,100.0,71.55,IBM_Global×Multiplier,,LEAN
Telecommunications,Brazil,2024,Man-in-the-Middle,unknown,pii_customer,943178,45000,34.5,27.13,63,4,4.22,100.0,27.13,IBM_Global×Multiplier,,LEAN
Telecommunications,Australia,2021,SQL Injection,vulnerability exploit,pii_customer,994468,45000,34.5,10.28,8,1,4.22,100.0,10.28,IBM_Global×Multiplier,,LEAN
Retail,China,2022,Phishing,unknown,pii_customer,131361,23000,8.9,31.35,39,3,3.798,100.0,31.35,IBM_Global×Multiplier,,LEAN
Telecommunications,China,2023,Malware,unknown,pii_customer,237658,45000,34.5,80.1,26,3,4.22,100.0,80.1,IBM_Global×Multiplier,,LEAN
Banking,USA,2017,Ransomware,vulnerability exploit,pii_customer,157313,8900,12.3,42.19,47,4,4.22,100.0,42.19,IBM_Global×Multiplier,,LEAN
Education,UK,2021,Man-in-the-Middle,vulnerability exploit,pii_customer,414340,3400,2.1,40.98,10,1,3.376,100.0,40.98,IBM_Global×Multiplier,,LEAN
Healthcare,France,2020,DDoS,unknown,pii_customer,153523,10700,19.2,58.8,22,2,8.44,100.0,58.8,IBM_Global×Multiplier,,LEAN
IT,UK,2019,Phishing,unknown,pii_customer,232665,8900,12.3,3.33,65,4,4.22,100.0,3.33,IBM_Global×Multiplier,,LEAN
Government,Germany,2022,Phishing,unknown,pii_customer,383945,2300,8.9,58.98,49,4,4.22,100.0,58.98,IBM_Global×Multiplier,,LEAN
Government,Brazil,2023,Ransomware,unknown,pii_customer,762006,2300,8.9,4.6,21,2,4.22,100.0,4.6,IBM_Global×Multiplier,,LEAN
Government,Germany,2019,SQL Injection,vulnerability exploit,pii_customer,408103,2300,8.9,96.91,27,3,4.22,100.0,96.91,IBM_Global×Multiplier,,LEAN
Healthcare,France,2022,Phishing,unknown,pii_customer,44837,10700,19.2,85.91,18,2,8.44,100.0,85.91,IBM_Global×Multiplier,,LEAN
Telecommunications,Germany,2023,DDoS,unknown,pii_customer,642699,45000,34.5,51.49,51,4,4.22,100.0,51.49,IBM_Global×Multiplier,,LEAN
Telecommunications,UK,2021,Ransomware,vulnerability exploit,pii_customer,634820,45000,34.5,3.99,33,3,4.22,100.0,3.99,IBM_Global×Multiplier,,LEAN
Retail,France,2021,Malware,unknown,pii_customer,887718,23000,8.9,3.44,55,4,3.798,100.0,3.44,IBM_Global×Multiplier,,LEAN
Education,USA,2020,DDoS,unknown,pii_customer,541631,3400,2.1,52.7,30,3,3.376,100.0,52.7,IBM_Global×Multiplier,,LEAN
Retail,USA,2016,Ransomware,unknown,pii_customer,523522,23000,8.9,11.58,57,4,3.798,100.0,11.58,IBM_Global×Multiplier,,LEAN
Government,Russia,2021,DDoS,vulnerability exploit,pii_customer,686309,2300,8.9,91.69,42,4,4.22,100.0,91.69,IBM_Global×Multiplier,,LEAN
Education,India,2015,Man-in-the-Middle,unknown,pii_customer,416328,3400,2.1,79.89,55,4,3.376,100.0,79.89,IBM_Global×Multiplier,,LEAN
IT,India,2021,Man-in-the-Middle,unknown,pii_customer,582718,8900,12.3,53.49,20,2,4.22,100.0,53.49,IBM_Global×Multiplier,,LEAN
Telecommunications,Japan,2021,Man-in-the-Middle,unknown,pii_customer,549640,45000,34.5,18.91,17,1,4.22,100.0,18.91,IBM_Global×Multiplier,,LEAN
Retail,USA,2024,DDoS,unknown,pii_customer,1068,23000,8.9,15.34,3,1,3.798,100.0,15.34,IBM_Global×Multiplier,,LEAN
Telecommunications,France,2018,DDoS,unknown,pii_customer,959835,45000,34.5,12.72,38,3,4.22,100.0,12.72,IBM_Global×Multiplier,,LEAN
Retail,USA,2024,Ransomware,unknown,pii_customer,227390,23000,8.9,46.59,40,3,3.798,100.0,46.59,IBM_Global×Multiplier,,LEAN
Banking,France,2021,SQL Injection,unknown,pii_customer,577763,8900,12.3,62.9,43,4,4.22,100.0,62.9,IBM_Global×Multiplier,,LEAN
Healthcare,Japan,2018,SQL Injection,vulnerability exploit,pii_customer,786644,10700,19.2,85.33,41,3,8.44,100.0,85.33,IBM_Global×Multiplier,,LEAN
Healthcare,China,2016,Malware,vulnerability exploit,pii_customer,454802,10700,19.2,85.15,48,4,8.44,100.0,85.15,IBM_Global×Multiplier,,LEAN
Healthcare,China,2024,DDoS,unknown,pii_customer,371685,10700,19.2,53.53,34,3,8.44,100.0,53.53,IBM_Global×Multiplier,,LEAN
Retail,India,2023,Ransomware,vulnerability exploit,pii_customer,217534,23000,8.9,4.32,48,4,3.798,100.0,4.32,IBM_Global×Multiplier,,LEAN
Telecommunications,Australia,2024,Man-in-the-Middle,vulnerability exploit,pii_customer,376612,45000,34.5,31.68,27,3,4.22,100.0,31.68,IBM_Global×Multiplier,,LEAN
Banking,UK,2020,Phishing,vulnerability exploit,pii_customer,812206,8900,12.3,84.77,39,3,4.22,100.0,84.77,IBM_Global×Multiplier,,LEAN
Banking,Australia,2021,Man-in-the-Middle,unknown,pii_customer,255967,8900,12.3,82.87,23,2,4.22,100.0,82.87,IBM_Global×Multiplier,,LEAN
Healthcare,USA,2023,DDoS,unknown,pii_customer,463332,10700,19.2,5.32,16,1,8.44,100.0,5.32,IBM_Global×Multiplier,,LEAN
IT,Australia,2023,DDoS,unknown,pii_customer,771547,8900,12.3,31.48,5,1,4.22,100.0,31.48,IBM_Global×Multiplier,,LEAN
Retail,UK,2020,DDoS,unknown,pii_customer,809209,23000,8.9,86.0,26,3,3.798,100.0,86.0,IBM_Global×Multiplier,,LEAN
Retail,India,2024,DDoS,unknown,pii_customer,342575,23000,8.9,35.47,49,4,3.798,100.0,35.47,IBM_Global×Multiplier,,LEAN
Retail,Japan,2024,Phishing,unknown,pii_customer,478963,23000,8.9,94.75,70,4,3.798,100.0,94.75,IBM_Global×Multiplier,,LEAN
Banking,USA,2017,SQL Injection,unknown,pii_customer,910393,8900,12.3,39.59,52,4,4.22,100.0,39.59,IBM_Global×Multiplier,,LEAN
Banking,Australia,2024,Phishing,unknown,pii_customer,601198,8900,12.3,70.52,41,3,4.22,100.0,70.52,IBM_Global×Multiplier,,LEAN
Government,UK,2018,Ransomware,unknown,pii_customer,152302,2300,8.9,6.6,26,3,4.22,100.0,6.6,IBM_Global×Multiplier,,LEAN
Healthcare,USA,2016,SQL Injection,unknown,pii_customer,79102,10700,19.2,25.85,4,1,8.44,100.0,25.85,IBM_Global×Multiplier,,LEAN
Retail,India,2017,Ransomware,unknown,pii_customer,837506,23000,8.9,80.93,8,1,3.798,100.0,80.93,IBM_Global×Multiplier,,LEAN
Banking,Germany,2018,Malware,unknown,pii_customer,347441,8900,12.3,63.81,58,4,4.22,100.0,63.81,IBM_Global×Multiplier,,LEAN
Telecommunications,USA,2021,Ransomware,vulnerability exploit,pii_customer,231198,45000,34.5,3.63,42,4,4.22,100.0,3.63,IBM_Global×Multiplier,,LEAN
Government,Brazil,2016,DDoS,unknown,pii_customer,555275,2300,8.9,80.09,71,4,4.22,100.0,80.09,IBM_Global×Multiplier,,LEAN
Retail,UK,2016,SQL Injection,unknown,pii_customer,46699,23000,8.9,24.51,53,4,3.798,100.0,24.51,IBM_Global×Multiplier,,LEAN
IT,UK,2024,Man-in-the-Middle,vulnerability exploit,pii_customer,706469,8900,12.3,56.23,17,1,4.22,100.0,56.23,IBM_Global×Multiplier,,LEAN
IT,China,2018,Ransomware,unknown,pii_customer,311165,8900,12.3,43.73,34,3,4.22,100.0,43.73,IBM_Global×Multiplier,,LEAN
Government,France,2019,SQL Injection,unknown,pii_customer,304257,2300,8.9,85.13,20,2,4.22,100.0,85.13,IBM_Global×Multiplier,,LEAN
Telecommunications,Brazil,2017,SQL Injection,vulnerability exploit,pii_customer,446378,45000,34.5,24.05,59,4,4.22,100.0,24.05,IBM_Global×Multiplier,,LEAN
Healthcare,China,2021,Ransomware,unknown,pii_customer,994243,10700,19.2,32.72,54,4,8.44,100.0,32.72,IBM_Global×Multiplier,,LEAN
Healthcare,UK,2015,Phishing,unknown,pii_customer,98634,10700,19.2,81.75,5,1,8.44,100.0,81.75,IBM_Global×Multiplier,,LEAN
Telecommunications,USA,2018,Phishing,unknown,pii_customer,93999,45000,34.5,42.46,65,4,4.22,100.0,42.46,IBM_Global×Multiplier,,LEAN
Education,France,2017,SQL Injection,unknown,pii_customer,171095,3400,2.1,14.54,63,4,3.376,100.0,14.54,IBM_Global×Multiplier,,LEAN
IT,USA,2015,Man-in-the-Middle,unknown,pii_customer,820182,8900,12.3,38.92,16,1,4.22,100.0,38.92,IBM_Global×Multiplier,,LEAN
Telecommunications,Germany,2018,SQL Injection,unknown,pii_customer,164890,45000,34.5,4.2,61,4,4.22,100.0,4.2,IBM_Global×Multiplier,,LEAN
Telecommunications,China,2015,SQL Injection,vulnerability exploit,pii_customer,605020,45000,34.5,75.91,43,4,4.22,100.0,75.91,IBM_Global×Multiplier,,LEAN
Education,Australia,2024,Ransomware,vulnerability exploit,pii_customer,500747,3400,2.1,44.95,58,4,3.376,100.0,44.95,IBM_Global×Multiplier,,LEAN
IT,Japan,2020,Man-in-the-Middle,unknown,pii_customer,854904,8900,12.3,35.79,12,1,4.22,100.0,35.79,IBM_Global×Multiplier,,LEAN
Healthcare,China,2020,SQL Injection,vulnerability exploit,pii_customer,55719,10700,19.2,62.44,71,4,8.44,100.0,62.44,IBM_Global×Multiplier,,LEAN
Retail,Brazil,2015,Phishing,vulnerability exploit,pii_customer,355008,23000,8.9,19.93,31,3,3.798,100.0,19.93,IBM_Global×Multiplier,,LEAN
IT,UK,2019,Phishing,unknown,pii_customer,428615,8900,12.3,75.31,66,4,4.22,100.0,75.31,IBM_Global×Multiplier,,LEAN
Healthcare,Australia,2015,Phishing,vulnerability exploit,pii_customer,108767,10700,19.2,76.4,48,4,8.44,100.0,76.4,IBM_Global×Multiplier,,LEAN
IT,India,2020,Man-in-the-Middle,vulnerability exploit,pii_customer,939469,8900,12.3,28.69,45,4,4.22,100.0,28.69,IBM_Global×Multiplier,,LEAN
Government,UK,2019,Man-in-the-Middle,unknown,pii_customer,325827,2300,8.9,23.93,39,3,4.22,100.0,23.93,IBM_Global×Multiplier,,LEAN
Education,UK,2017,Man-in-the-Middle,unknown,pii_customer,996762,3400,2.1,30.44,27,3,3.376,100.0,30.44,IBM_Global×Multiplier,,LEAN
IT,Japan,2017,Phishing,vulnerability exploit,pii_customer,319868,8900,12.3,5.14,52,4,4.22,100.0,5.14,IBM_Global×Multiplier,,LEAN
Banking,Brazil,2018,Man-in-the-Middle,unknown,pii_customer,66191,8900,12.3,1.01,71,4,4.22,100.0,1.01,IBM_Global×Multiplier,,LEAN
IT,India,2023,Ransomware,unknown,pii_customer,925373,8900,12.3,18.53,4,1,4.22,100.0,18.53,IBM_Global×Multiplier,,LEAN
Telecommunications,India,2015,Malware,vulnerability exploit,pii_customer,913114,45000,34.5,1.52,15,1,4.22,100.0,1.52,IBM_Global×Multiplier,,LEAN
Healthcare,Australia,2019,DDoS,vulnerability exploit,pii_customer,163975,10700,19.2,84.89,22,2,8.44,100.0,84.89,IBM_Global×Multiplier,,LEAN
Education,USA,2016,DDoS,vulnerability exploit,pii_customer,876135,3400,2.1,66.73,67,4,3.376,100.0,66.73,IBM_Global×Multiplier,,LEAN
Government,China,2024,Ransomware,unknown,pii_customer,595380,2300,8.9,72.61,10,1,4.22,100.0,72.61,IBM_Global×Multiplier,,LEAN
Government,France,2020,DDoS,unknown,pii_customer,840796,2300,8.9,44.16,5,1,4.22,100.0,44.16,IBM_Global×Multiplier,,LEAN
Telecommunications,UK,2022,DDoS,unknown,pii_customer,484908,45000,34.5,80.05,42,4,4.22,100.0,80.05,IBM_Global×Multiplier,,LEAN
Telecommunications,Russia,2018,SQL Injection,unknown,pii_customer,146100,45000,34.5,13.69,22,2,4.22,100.0,13.69,IBM_Global×Multiplier,,LEAN
IT,USA,2021,Phishing,unknown,pii_customer,555756,8900,12.3,29.02,21,2,4.22,100.0,29.02,IBM_Global×Multiplier,,LEAN
Retail,India,2017,Ransomware,unknown,pii_customer,340928,23000,8.9,69.91,61,4,3.798,100.0,69.91,IBM_Global×Multiplier,,LEAN
Telecommunications,UK,2016,Malware,unknown,pii_customer,678640,45000,34.5,3.76,44,4,4.22,100.0,3.76,IBM_Global×Multiplier,,LEAN
IT,Brazil,2020,Phishing,unknown,pii_customer,212798,8900,12.3,57.43,31,3,4.22,100.0,57.43,IBM_Global×Multiplier,,LEAN
Retail,UK,2019,Ransomware,unknown,pii_customer,354024,23000,8.9,63.45,33,3,3.798,100.0,63.45,IBM_Global×Multiplier,,LEAN
Government,UK,2016,Man-in-the-Middle,unknown,pii_customer,189354,2300,8.9,41.34,39,3,4.22,100.0,41.34,IBM_Global×Multiplier,,LEAN
Education,Australia,2022,Phishing,unknown,pii_customer,648363,3400,2.1,22.73,47,4,3.376,100.0,22.73,IBM_Global×Multiplier,,LEAN
