Incident_ID,Date_Reported,Company_Name,Industry,Country,Attack_Type,Records_Compromised,Attack_Vector,Data_Type,Ransom_Amount_USD,Recovery_Time_Days,Financial_Impact_Million_USD,CISO_Present,Security_Budget_Million_USD,Employee_Count,Previous_Incidents,Patch_Status,MFA_Enabled,Security_Training_Hours,Incident_Severity,Attribution,Response_Time_Hours,Regulatory_Fine_Million_USD,Stock_Impact_Percent,Customer_Churn_Percent,Reputation_Score_Change,Year,Per_Record_Cost_USD,Baseline_Industry_Cost_Million_USD,Estimated_Financial_Impact_Million_USD,Baseline_Source_x,PerRecord_Source_x,Source_Tag,Baseline_Source_y,Baseline_Source,PerRecord_Source_y,PerRecord_Source
,,,Banking,Brazil,Man-in-the-Middle,66191,,,,,1.01,,,,,,,,71.0,,,,,,,2018,100.31243975865726,50.75,1.01,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,India,Ransomware,925373,,,,,18.53,,,,,,,,4.0,,,,,,,2023,100.31243975865726,53.3,18.53,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,India,Malware,913114,,,,,1.52,,,,,,,,15.0,,,,,,,2015,100.31243975865726,51.230000000000004,1.52,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Australia,DDoS,163975,,,,,84.89,,,,,,,,22.0,,,,,,,2019,100.31243975865726,7.42,84.89,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,USA,DDoS,876135,,,,,66.73,,,,,,,,67.0,,,,,,,2016,100.31243975865726,3.8,66.73,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Government,China,Ransomware,595380,,,,,72.61,,,,,,,,10.0,,,,,,,2024,100.31243975865726,54.44,72.61,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,France,DDoS,840796,,,,,44.16,,,,,,,,5.0,,,,,,,2020,100.31243975865726,54.44,44.16,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,UK,DDoS,484908,,,,,80.05,,,,,,,,42.0,,,,,,,2022,100.31243975865726,51.230000000000004,80.05,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,Russia,SQL Injection,146100,,,,,13.69,,,,,,,,22.0,,,,,,,2018,100.31243975865726,51.230000000000004,13.69,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,USA,Phishing,555756,,,,,29.02,,,,,,,,21.0,,,,,,,2021,100.31243975865726,53.3,29.02,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,India,Ransomware,340928,,,,,69.91,,,,,,,,61.0,,,,,,,2017,100.31243975865726,3.54,69.91,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,UK,Malware,678640,,,,,3.76,,,,,,,,44.0,,,,,,,2016,100.31243975865726,51.230000000000004,3.76,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,Brazil,Phishing,212798,,,,,57.43,,,,,,,,31.0,,,,,,,2020,100.31243975865726,53.3,57.43,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,UK,Ransomware,354024,,,,,63.45,,,,,,,,33.0,,,,,,,2019,100.31243975865726,3.54,63.45,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Government,UK,Man-in-the-Middle,189354,,,,,41.34,,,,,,,,39.0,,,,,,,2016,100.31243975865726,54.44,41.34,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,Australia,Phishing,648363,,,,,22.73,,,,,,,,47.0,,,,,,,2022,100.31243975865726,3.8,22.73,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,Brazil,DDoS,231114,,,,,5.88,,,,,,,,37.0,,,,,,,2017,100.31243975865726,53.3,5.88,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,India,Ransomware,489620,,,,,9.81,,,,,,,,43.0,,,,,,,2017,100.31243975865726,50.75,9.81,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,USA,DDoS,854005,,,,,94.14,,,,,,,,14.0,,,,,,,2015,100.31243975865726,53.3,94.14,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,Germany,Ransomware,550719,,,,,33.24,,,,,,,,60.0,,,,,,,2017,100.31243975865726,53.3,33.24,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,Germany,Man-in-the-Middle,445254,,,,,75.37,,,,,,,,42.0,,,,,,,2019,100.31243975865726,54.44,75.37,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,Japan,Phishing,218097,,,,,49.17,,,,,,,,32.0,,,,,,,2020,100.31243975865726,3.8,49.17,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Germany,Malware,324790,,,,,94.87,,,,,,,,42.0,,,,,,,2017,100.31243975865726,51.230000000000004,94.87,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,India,SQL Injection,497965,,,,,28.71,,,,,,,,25.0,,,,,,,2023,100.31243975865726,54.44,28.71,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,Australia,SQL Injection,933030,,,,,42.5,,,,,,,,27.0,,,,,,,2023,100.31243975865726,3.8,42.5,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,UK,Man-in-the-Middle,538338,,,,,53.07,,,,,,,,1.0,,,,,,,2015,100.31243975865726,53.3,53.07,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,France,Phishing,860459,,,,,99.78,,,,,,,,11.0,,,,,,,2018,100.31243975865726,3.54,99.78,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,UK,DDoS,276634,,,,,82.87,,,,,,,,38.0,,,,,,,2024,100.31243975865726,7.42,82.87,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Germany,Man-in-the-Middle,316299,,,,,81.46,,,,,,,,66.0,,,,,,,2018,100.31243975865726,50.75,81.46,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Japan,Ransomware,410385,,,,,33.66,,,,,,,,71.0,,,,,,,2023,100.31243975865726,7.42,33.66,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,Japan,DDoS,589898,,,,,99.28,,,,,,,,59.0,,,,,,,2024,100.31243975865726,7.42,99.28,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,France,Man-in-the-Middle,63760,,,,,14.86,,,,,,,,8.0,,,,,,,2016,100.31243975865726,3.54,14.86,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,USA,Ransomware,58037,,,,,33.75,,,,,,,,13.0,,,,,,,2015,100.31243975865726,50.75,33.75,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,UK,SQL Injection,994787,,,,,82.03,,,,,,,,56.0,,,,,,,2017,100.31243975865726,54.44,82.03,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,India,Ransomware,89719,,,,,9.53,,,,,,,,68.0,,,,,,,2016,100.31243975865726,3.54,9.53,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Germany,SQL Injection,590760,,,,,6.09,,,,,,,,32.0,,,,,,,2023,100.31243975865726,51.230000000000004,6.09,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,UK,DDoS,186700,,,,,29.05,,,,,,,,37.0,,,,,,,2022,100.31243975865726,53.3,29.05,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,Japan,SQL Injection,682430,,,,,89.48,,,,,,,,5.0,,,,,,,2019,100.31243975865726,3.8,89.48,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,Australia,SQL Injection,60868,,,,,75.2,,,,,,,,46.0,,,,,,,2018,100.31243975865726,3.8,75.2,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Government,France,SQL Injection,182916,,,,,29.33,,,,,,,,17.0,,,,,,,2016,100.31243975865726,54.44,29.33,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,France,DDoS,181879,,,,,65.96,,,,,,,,64.0,,,,,,,2023,100.31243975865726,3.8,65.96,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,Australia,Phishing,715732,,,,,95.2,,,,,,,,11.0,,,,,,,2017,100.31243975865726,3.54,95.2,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,UK,Malware,452477,,,,,16.02,,,,,,,,23.0,,,,,,,2023,100.31243975865726,50.75,16.02,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,India,Ransomware,168881,,,,,11.19,,,,,,,,5.0,,,,,,,2018,100.31243975865726,50.75,11.19,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,France,SQL Injection,94235,,,,,27.42,,,,,,,,29.0,,,,,,,2017,100.31243975865726,7.42,27.42,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Australia,Ransomware,75314,,,,,17.38,,,,,,,,6.0,,,,,,,2015,100.31243975865726,51.230000000000004,17.38,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,Russia,Man-in-the-Middle,515797,,,,,99.53,,,,,,,,46.0,,,,,,,2019,100.31243975865726,3.54,99.53,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Russia,DDoS,363906,,,,,55.05,,,,,,,,31.0,,,,,,,2024,100.31243975865726,51.230000000000004,55.05,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,UK,DDoS,446296,,,,,79.6,,,,,,,,4.0,,,,,,,2022,100.31243975865726,3.8,79.6,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Russia,Ransomware,329972,,,,,65.18,,,,,,,,48.0,,,,,,,2017,100.31243975865726,51.230000000000004,65.18,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,China,Ransomware,639190,,,,,25.73,,,,,,,,33.0,,,,,,,2017,100.31243975865726,3.8,25.73,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Government,USA,Ransomware,135105,,,,,33.71,,,,,,,,48.0,,,,,,,2022,100.31243975865726,54.44,33.71,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,China,DDoS,103079,,,,,94.74,,,,,,,,57.0,,,,,,,2015,100.31243975865726,3.8,94.74,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,France,DDoS,822364,,,,,75.88,,,,,,,,71.0,,,,,,,2018,100.31243975865726,53.3,75.88,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,India,SQL Injection,597509,,,,,75.25,,,,,,,,20.0,,,,,,,2021,100.31243975865726,54.44,75.25,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,Brazil,Man-in-the-Middle,705678,,,,,90.37,,,,,,,,57.0,,,,,,,2023,100.31243975865726,51.230000000000004,90.37,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,France,Phishing,309967,,,,,14.45,,,,,,,,26.0,,,,,,,2020,100.31243975865726,3.54,14.45,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,France,Ransomware,604250,,,,,54.47,,,,,,,,63.0,,,,,,,2022,100.31243975865726,50.75,54.47,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,India,Ransomware,131900,,,,,33.66,,,,,,,,21.0,,,,,,,2024,100.31243975865726,53.3,33.66,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,Australia,Ransomware,305494,,,,,84.51,,,,,,,,19.0,,,,,,,2022,100.31243975865726,54.44,84.51,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Brazil,Malware,907121,,,,,61.56,,,,,,,,33.0,,,,,,,2023,100.31243975865726,7.42,61.56,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,India,Phishing,879162,,,,,23.32,,,,,,,,38.0,,,,,,,2024,100.31243975865726,50.75,23.32,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,Brazil,Man-in-the-Middle,57237,,,,,43.71,,,,,,,,52.0,,,,,,,2017,100.31243975865726,51.230000000000004,43.71,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,Australia,Phishing,880127,,,,,2.84,,,,,,,,67.0,,,,,,,2016,100.31243975865726,51.230000000000004,2.84,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,China,Phishing,698847,,,,,71.4,,,,,,,,17.0,,,,,,,2017,100.31243975865726,53.3,71.4,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,India,Man-in-the-Middle,928859,,,,,90.87,,,,,,,,32.0,,,,,,,2022,100.31243975865726,50.75,90.87,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,India,SQL Injection,858565,,,,,78.94,,,,,,,,29.0,,,,,,,2017,100.31243975865726,53.3,78.94,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,China,Malware,571265,,,,,34.33,,,,,,,,17.0,,,,,,,2022,100.31243975865726,51.230000000000004,34.33,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Russia,DDoS,259321,,,,,40.64,,,,,,,,62.0,,,,,,,2015,100.31243975865726,50.75,40.64,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Brazil,Man-in-the-Middle,121504,,,,,59.43,,,,,,,,32.0,,,,,,,2022,100.31243975865726,50.75,59.43,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,France,DDoS,670630,,,,,50.75,,,,,,,,4.0,,,,,,,2018,100.31243975865726,50.75,50.75,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,China,Ransomware,277175,,,,,72.18,,,,,,,,72.0,,,,,,,2024,100.31243975865726,50.75,72.18,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,USA,Man-in-the-Middle,952463,,,,,23.35,,,,,,,,26.0,,,,,,,2016,100.31243975865726,3.54,23.35,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Government,UK,DDoS,624619,,,,,78.32,,,,,,,,67.0,,,,,,,2020,100.31243975865726,54.44,78.32,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,China,Phishing,363934,,,,,20.22,,,,,,,,24.0,,,,,,,2018,100.31243975865726,7.42,20.22,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,Japan,SQL Injection,44750,,,,,33.15,,,,,,,,22.0,,,,,,,2017,100.31243975865726,53.3,33.15,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,UK,DDoS,736601,,,,,8.82,,,,,,,,26.0,,,,,,,2021,100.31243975865726,50.75,8.82,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,Japan,Ransomware,42876,,,,,43.32,,,,,,,,40.0,,,,,,,2018,100.31243975865726,3.8,43.32,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,Australia,DDoS,536357,,,,,90.4,,,,,,,,55.0,,,,,,,2018,100.31243975865726,7.42,90.4,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Government,USA,Phishing,785099,,,,,55.34,,,,,,,,29.0,,,,,,,2017,100.31243975865726,54.44,55.34,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,France,DDoS,460544,,,,,27.89,,,,,,,,29.0,,,,,,,2019,100.31243975865726,7.42,27.89,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,France,Ransomware,881755,,,,,66.04,,,,,,,,10.0,,,,,,,2020,100.31243975865726,3.8,66.04,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,India,SQL Injection,213393,,,,,10.24,,,,,,,,49.0,,,,,,,2024,100.31243975865726,51.230000000000004,10.24,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,UK,Man-in-the-Middle,213979,,,,,43.82,,,,,,,,10.0,,,,,,,2017,100.31243975865726,51.230000000000004,43.82,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,UK,Malware,570243,,,,,3.17,,,,,,,,51.0,,,,,,,2021,100.31243975865726,51.230000000000004,3.17,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,Brazil,Malware,47624,,,,,72.73,,,,,,,,70.0,,,,,,,2016,100.31243975865726,54.44,72.73,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,China,Man-in-the-Middle,72940,,,,,16.09,,,,,,,,26.0,,,,,,,2024,100.31243975865726,50.75,16.09,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,Japan,Malware,710142,,,,,98.14,,,,,,,,56.0,,,,,,,2020,100.31243975865726,51.230000000000004,98.14,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,Japan,Malware,360524,,,,,51.91,,,,,,,,47.0,,,,,,,2023,100.31243975865726,3.54,51.91,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,France,Phishing,309259,,,,,55.9,,,,,,,,3.0,,,,,,,2017,100.31243975865726,53.3,55.9,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,UK,Phishing,393201,,,,,30.68,,,,,,,,3.0,,,,,,,2024,100.31243975865726,54.44,30.68,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,Germany,Ransomware,306799,,,,,65.2,,,,,,,,61.0,,,,,,,2020,100.31243975865726,53.3,65.2,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Russia,Malware,30180,,,,,81.92,,,,,,,,53.0,,,,,,,2022,100.31243975865726,7.42,81.92,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,India,Phishing,113745,,,,,97.87,,,,,,,,2.0,,,,,,,2017,100.31243975865726,3.54,97.87,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Japan,Ransomware,584428,,,,,24.22,,,,,,,,34.0,,,,,,,2024,100.31243975865726,50.75,24.22,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,France,Ransomware,178268,,,,,3.27,,,,,,,,2.0,,,,,,,2020,100.31243975865726,7.42,3.27,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,China,Phishing,338578,,,,,33.69,,,,,,,,38.0,,,,,,,2022,100.31243975865726,3.54,33.69,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,China,DDoS,972407,,,,,7.31,,,,,,,,51.0,,,,,,,2024,100.31243975865726,7.42,7.31,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Brazil,Ransomware,817169,,,,,15.66,,,,,,,,54.0,,,,,,,2022,100.31243975865726,50.75,15.66,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Australia,Malware,796100,,,,,62.34,,,,,,,,20.0,,,,,,,2015,100.31243975865726,7.42,62.34,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,UK,Man-in-the-Middle,530253,,,,,76.06,,,,,,,,28.0,,,,,,,2016,100.31243975865726,50.75,76.06,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,Australia,Man-in-the-Middle,165496,,,,,50.36,,,,,,,,72.0,,,,,,,2024,100.31243975865726,54.44,50.36,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Russia,Ransomware,501490,,,,,34.92,,,,,,,,44.0,,,,,,,2021,100.31243975865726,50.75,34.92,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,India,Malware,392365,,,,,11.81,,,,,,,,72.0,,,,,,,2016,100.31243975865726,50.75,11.81,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,China,Malware,194617,,,,,96.72,,,,,,,,31.0,,,,,,,2022,100.31243975865726,3.8,96.72,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,Japan,Man-in-the-Middle,516125,,,,,44.34,,,,,,,,67.0,,,,,,,2022,100.31243975865726,3.54,44.34,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Australia,Man-in-the-Middle,393335,,,,,67.72,,,,,,,,31.0,,,,,,,2021,100.31243975865726,51.230000000000004,67.72,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,UK,SQL Injection,197436,,,,,34.09,,,,,,,,10.0,,,,,,,2018,100.31243975865726,54.44,34.09,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,France,DDoS,452360,,,,,31.51,,,,,,,,65.0,,,,,,,2022,100.31243975865726,3.8,31.51,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,Australia,DDoS,913090,,,,,20.39,,,,,,,,2.0,,,,,,,2018,100.31243975865726,7.42,20.39,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,Germany,SQL Injection,368222,,,,,38.65,,,,,,,,56.0,,,,,,,2018,100.31243975865726,51.230000000000004,38.65,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,India,SQL Injection,826937,,,,,77.3,,,,,,,,64.0,,,,,,,2022,100.31243975865726,7.42,77.3,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,Brazil,Ransomware,673959,,,,,89.93,,,,,,,,39.0,,,,,,,2015,100.31243975865726,3.54,89.93,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,UK,Ransomware,383246,,,,,4.29,,,,,,,,45.0,,,,,,,2022,100.31243975865726,3.8,4.29,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,UK,Man-in-the-Middle,422890,,,,,76.03,,,,,,,,4.0,,,,,,,2019,100.31243975865726,50.75,76.03,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,Australia,Malware,497035,,,,,42.3,,,,,,,,66.0,,,,,,,2020,100.31243975865726,50.75,42.3,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,Brazil,Phishing,720220,,,,,72.57,,,,,,,,71.0,,,,,,,2023,100.31243975865726,54.44,72.57,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,Russia,Phishing,808318,,,,,93.7,,,,,,,,57.0,,,,,,,2019,100.31243975865726,54.44,93.7,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,Germany,SQL Injection,294981,,,,,68.63,,,,,,,,3.0,,,,,,,2022,100.31243975865726,53.3,68.63,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,USA,Phishing,281182,,,,,52.7,,,,,,,,27.0,,,,,,,2017,100.31243975865726,7.42,52.7,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Education,Australia,Ransomware,95750,,,,,66.56,,,,,,,,44.0,,,,,,,2017,100.31243975865726,3.8,66.56,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,Brazil,Ransomware,879260,,,,,91.03,,,,,,,,16.0,,,,,,,2015,100.31243975865726,3.54,91.03,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,Russia,Man-in-the-Middle,561615,,,,,14.74,,,,,,,,29.0,,,,,,,2017,100.31243975865726,53.3,14.74,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Retail,Brazil,SQL Injection,206598,,,,,40.29,,,,,,,,45.0,,,,,,,2016,100.31243975865726,3.54,40.29,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,IT,Brazil,Man-in-the-Middle,171305,,,,,56.83,,,,,,,,54.0,,,,,,,2017,100.31243975865726,53.3,56.83,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,Russia,SQL Injection,492909,,,,,63.45,,,,,,,,42.0,,,,,,,2024,100.31243975865726,54.44,63.45,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,UK,Man-in-the-Middle,477493,,,,,72.57,,,,,,,,16.0,,,,,,,2021,100.31243975865726,53.3,72.57,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Government,Japan,Phishing,622723,,,,,22.94,,,,,,,,67.0,,,,,,,2021,100.31243975865726,54.44,22.94,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Healthcare,Australia,Malware,124155,,,,,80.22,,,,,,,,40.0,,,,,,,2016,100.31243975865726,7.42,80.22,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,China,Malware,897277,,,,,34.49,,,,,,,,55.0,,,,,,,2024,100.31243975865726,3.54,34.49,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Healthcare,USA,SQL Injection,28682,,,,,51.26,,,,,,,,44.0,,,,,,,2017,100.31243975865726,7.42,51.26,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Banking,Japan,Phishing,512431,,,,,73.04,,,,,,,,44.0,,,,,,,2020,100.31243975865726,50.75,73.04,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,IT,Australia,SQL Injection,171977,,,,,19.14,,,,,,,,44.0,,,,,,,2018,100.31243975865726,53.3,19.14,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Telecommunications,UK,SQL Injection,943070,,,,,38.72,,,,,,,,36.0,,,,,,,2015,100.31243975865726,51.230000000000004,38.72,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Education,Japan,DDoS,887855,,,,,14.88,,,,,,,,7.0,,,,,,,2021,100.31243975865726,3.8,14.88,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Retail,USA,Ransomware,535110,,,,,54.05,,,,,,,,2.0,,,,,,,2018,100.31243975865726,3.54,54.05,,,LEAN,,IBM_2025_Report,,Observed_Median_By_DataType
,,,Telecommunications,USA,Man-in-the-Middle,817386,,,,,42.29,,,,,,,,8.0,,,,,,,2021,100.31243975865726,51.230000000000004,42.29,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
,,,Banking,India,Phishing,206552,,,,,96.59,,,,,,,,13.0,,,,,,,2018,100.31243975865726,50.75,96.59,,,LEAN,,Observed_Median_By_Industry,,Observed_Median_By_DataType
